source,target,weight
Spider-Man: No Way Home,The Amazing Spider-Man,0.1762587635936289
Spider-Man: No Way Home,The Amazing Spider-Man 2,0.18052954707919822
Spider-Man: No Way Home,Spider-Man: Far From Home,0.1920911544867564
Spider-Man: No Way Home,Spider-Man: Homecoming,0.19137660776545834
Spider-Man: No Way Home,Spider-Man,0.20881775202955927
Spider-Man: No Way Home,Spider-Man: Into the Spider-Verse,0.18955660162552246
Spider-Man: No Way Home,Spider-Man 3,0.17239743564794813
The Batman,Batman Begins,0.15808807242485334
The Batman,The Dark Knight Rises,0.13434429588097282
The Batman,The Dark Knight,0.1283671515729024
The Batman,Joker,0.1524403305900638
The Batman,"Batman: The Long Halloween, Part Two",0.20895256787762898
The Batman,"Batman: The Long Halloween, Part One",0.20169113389263904
The Batman,Batman: Hush,0.1554710715162113
The Batman,Blitz,0.15605929919312614
The Batman,"Batman: The Dark Knight Returns, Part 1",0.14870616951867663
Encanto,Onward,0.0708022292453941
The Commando,Now You See Me,0.06813296527984955
Scream,Texas Chainsaw Massacre,0.056362542485194615
Scream,Fear Street: 1994,0.05869998779754763
Scream,There's Someone Inside Your House,0.06874024037907617
Scream,Scream,0.07682984294428062
Scream,Blitz,0.04998328387785404
Scream,Scream 4,0.0497019793330594
Scream,Fear Street: 1666,0.06805853953580662
Fistful of Vengeance,Ava,0.05191419151314456
Fistful of Vengeance,The Warrior's Way,0.04672265591486424
Eternals,Jiu Jitsu,0.055589026735642616
Eternals,District 9,0.044198558757905695
My Hero Academia: World Heroes' Mission,My Hero Academia: Heroes Rising,0.04599639968705032
The Ice Age Adventures of Buck Wild,Palmer,0.04200997526691145
Hotel Transylvania: Transformania,Monster Pets: A Hotel Transylvania Short,0.06833691412640525
Hotel Transylvania: Transformania,Monster Family 2,0.04183650073806962
Hotel Transylvania: Transformania,Hotel Transylvania 3: Summer Vacation,0.08162303953188055
Hotel Transylvania: Transformania,Ghost Rider,0.04861391489277681
Texas Chainsaw Massacre,Scream,0.056362542485194615
Texas Chainsaw Massacre,The Texas Chain Saw Massacre,0.05843459007104812
The Requin,Black Water: Abyss,0.03557146622183844
Sing 2,Sing,0.034493455788742716
Venom: Let There Be Carnage,Spider-Man 3,0.04318752426330002
Venom: Let There Be Carnage,Venom,0.07353312930877655
The Matrix Resurrections,Infinite,0.03092720474780843
The Matrix Resurrections,The Matrix Revolutions,0.02769579606559882
The Matrix Resurrections,The Matrix Reloaded,0.05612820588349186
Resident Evil: Welcome to Raccoon City,Spirit Untamed,0.028968151608265342
Last Man Down,Framed by My Husband,0.024426136587709927
American Siege,Antlers,0.026883226781458575
Uncharted,Uncharted: Live Action Fan Film,0.05442438570806947
Ghostbusters: Afterlife,Antlers,0.024787010355720358
Ghostbusters: Afterlife,Journey 2: The Mysterious Island,0.03146126172418414
Ghostbusters: Afterlife,In for a Murder,0.027251017946878037
The Hunting,Women,0.022329407333971554
One Shot,Cell 211,0.02017895337036959
One Shot,Rambo: First Blood Part II,0.017143041173523624
Tom and Jerry: Cowboy Up!,Tom & Jerry,0.02260701124080546
Tom and Jerry: Cowboy Up!,Tom and Jerry: The Fast and the Furry,0.02235310187338285
Clifford the Big Red Dog,Cherry,0.017340898558270704
The Boss Baby: Family Business,Ted 2,0.01981478545341633
Turning Red,Up,0.017501333911422095
Brazen,Fear Street: 1978,0.01478346820767741
Free Guy,Ready Player One,0.013035653254138425
Free Guy,Ralph Breaks the Internet,0.01164369559278123
Free Guy,Pixels,0.01861342257832919
The Simpsons in Plusaversary,"The Simpsons: The Good, the Bart, and the Loki",0.011783396066697375
The Simpsons in Plusaversary,The Simpsons Movie,0.016019973505150383
The Simpsons in Plusaversary,Descendants 3,0.010958915318421648
Luca,Ciao Alberto,0.015477476534963288
Zack Snyder's Justice League,Injustice,0.011011590452069665
Zack Snyder's Justice League,Justice League,0.02301874396268833
Dune,Jupiter Ascending,0.01053775284870589
The Privilege,Dragon Fury,0.011059130116007303
The Privilege,Tom Clancy's Without Remorse,0.010513358847377008
The Privilege,Fear Street: 1994,0.01294091665075551
Antlers,American Siege,0.026883226781458575
Antlers,Ghostbusters: Afterlife,0.024787010355720358
Antlers,Fear Street: 1666,0.010631615175090283
Antlers,Women,0.012904808829115946
After We Fell,After We Collided,0.015594127167652898
After We Fell,After,0.018619869719688445
After We Fell,After Ever Happy,0.00981174425762946
Finch,Peninsula,0.009549419303927397
Avengers: Infinity War,Avengers: Endgame,0.014725125027085919
Batman,Batman Begins,0.010462925138533457
Batman,The Dark Knight,0.011737873058969448
Batman,Batman Returns,0.015762856135427952
Batman,Hummingbird,0.009633662818958656
The Wonderful Winter of Mickey Mouse,Bambi,0.015560670225548094
F9,Furious 7,0.018761987165076592
F9,Drive,0.00992271855196115
Moonfall,Godzilla vs. Kong,0.01059516363161795
Sonic the Hedgehog 2,Sonic the Hedgehog,0.01209498112116894
The Pirates: The Last Royal Treasure,Ice Age: Continental Drift,0.007865067240876548
Paranormal Activity: Next of Kin,The Maze Runner,0.007852527370881058
Godzilla vs. Kong,Moonfall,0.01059516363161795
Godzilla vs. Kong,X-Men: Days of Future Past,0.007427862207697332
The Amazing Spider-Man,Spider-Man: No Way Home,0.1762587635936289
The Amazing Spider-Man,The Amazing Spider-Man 2,0.013864526998237156
The Amazing Spider-Man,Spider-Man: Far From Home,0.009002178862329785
The Amazing Spider-Man,Spider-Man: Homecoming,0.009265887004764413
The Amazing Spider-Man,Spider-Man,0.011431373634806237
The Amazing Spider-Man,Spider-Man 3,0.010490659427324321
The Amazing Spider-Man,Peter Rabbit 2: The Runaway,0.010486581796073584
The Amazing Spider-Man,Peter Pan,0.008576345504290952
The Amazing Spider-Man,Brothers by Blood,0.008485435011623453
Avatar,The Matrix,0.0074760153529303455
Avatar,Stand by Me Doraemon,0.007472652400588153
Army of Thieves,Army of the Dead,0.00720774769419011
The Tomorrow War,X-Men: Days of Future Past,0.00844658011960547
Home Team,American Underdog,0.009707828324850256
Raya and the Last Dragon,How to Train Your Dragon 2,0.006956915319910574
Raya and the Last Dragon,How to Train Your Dragon: Homecoming,0.00996935542633826
Raya and the Last Dragon,Scooby-Doo! The Sword and the Scoob,0.007377707107659202
Raya and the Last Dragon,Barbie as Rapunzel,0.008075265920790503
Infinite,The Matrix Resurrections,0.03092720474780843
Space Jam: A New Legacy,Teen Titans Go! See Space Jam,0.007068958465139766
The Conjuring: The Devil Made Me Do It,The Conjuring,0.011938321181396865
The Conjuring: The Devil Made Me Do It,The Conjuring 2,0.00843991346753543
Batman Begins,The Batman,0.15808807242485334
Batman Begins,Batman,0.010462925138533457
Batman Begins,Joker,0.0077646546432130654
Batman Begins,The Lego Batman Movie,0.0067926472293821025
Batman Begins,Batman: Hush,0.007237016475251647
Batman Begins,"Batman: The Dark Knight Returns, Part 1",0.010503608622695103
Ciao Alberto,Luca,0.015477476534963288
Gone Mom: The Disappearance of Jennifer Dulos,What the Peeper Saw,0.008927881166970002
Apex,Ida Red,0.007225659277798718
Apex,The Unforgivable,0.005983172502247491
Love Tactics,Tentacles,0.007820194117666617
Love Tactics,101 Dalmatians,0.005541969308283466
Miraculous World: Shanghai – The Legend of Ladydragon,"Miraculous World: New York, United HeroeZ",0.007899168104241688
